unix_epoch_at_the_start_of_averaging_period,average_price_in_usd,symbol
1.7155908e+09,2983.235,ETH
1.7155872e+09,2972.6583333333333,ETH
1.7155836e+09,2929.466666666667,ETH
1.71558e+09,2895.9791666666674,ETH
1.7155764e+09,2887.729166666665,ETH
1.7155728e+09,2887.848333333331,ETH
1.7155692e+09,2882.6716666666666,ETH
1.7155656e+09,2906.0608333333325,ETH
1.715562e+09,2927.3741666666656,ETH
1.7155584e+09,2935.9683333333337,ETH
1.7155548e+09,2935.459166666665,ETH
1.7155512e+09,2933.9774999999986,ETH
1.7155476e+09,2927.8216666666676,ETH
1.715544e+09,2929.4899999999993,ETH
1.7155404e+09,2929.674166666665,ETH
1.7155368e+09,2937.2166666666644,ETH
1.7155332e+09,2935.7433333333342,ETH
1.7155296e+09,2942.4224999999983,ETH
1.715526e+09,2934.8041666666672,ETH
1.7155224e+09,2934.892500000002,ETH
1.7155188e+09,2933.3841666666685,ETH
1.7155152e+09,2931.0274999999997,ETH
1.7155116e+09,2930.9774999999995,ETH
1.715508e+09,2930.2025000000012,ETH
1.7155044e+09,2917.1449999999995,ETH
1.7155008e+09,2913.0349999999985,ETH
1.7154972e+09,2915.620833333334,ETH
1.7154936e+09,2925.1025,ETH
1.71549e+09,2927.7825000000025,ETH
1.7154864e+09,2927.564166666665,ETH
1.7154828e+09,2921.4500000000003,ETH
1.7154792e+09,2918.2825000000007,ETH
1.7154756e+09,2920.426666666665,ETH
1.715472e+09,2921.348333333332,ETH
1.7154684e+09,2917.191666666667,ETH
1.7154648e+09,2921.122499999999,ETH
1.7154612e+09,2922.868333333334,ETH
1.7154576e+09,2928.307499999998,ETH
1.715454e+09,2932.4599999999987,ETH
1.7154504e+09,2932.9708333333315,ETH
1.7154468e+09,2927.196666666669,ETH
1.7154432e+09,2927.171666666667,ETH
1.7154396e+09,2924.043333333336,ETH
1.715436e+09,2909.8675000000017,ETH
1.7154324e+09,2907.480833333334,ETH
1.7154288e+09,2906.7008333333315,ETH
1.7154252e+09,2903.8816666666676,ETH
1.7154216e+09,2908.7641666666673,ETH
1.715418e+09,2908.1575000000016,ETH
1.7154144e+09,2916.529166666668,ETH
1.7154108e+09,2921.320000000002,ETH
1.7154072e+09,2921.3008333333346,ETH
1.7154036e+09,2918.3666666666672,ETH
1.7154e+09,2912.55,ETH
1.7153964e+09,2916.419166666668,ETH
1.7153928e+09,2919.147499999999,ETH
1.7153892e+09,2924.275,ETH
1.7153856e+09,2914.8049999999985,ETH
1.715382e+09,2912.145833333335,ETH
1.7153784e+09,2904.5391666666674,ETH
1.7153748e+09,2896.910833333333,ETH
1.7153712e+09,2901.204166666667,ETH
1.7153676e+09,2907.5383333333343,ETH
1.715364e+09,2898.527499999998,ETH
1.7153604e+09,2903.2483333333344,ETH
1.7153568e+09,2921.0274999999983,ETH
1.7153532e+09,2933.981666666667,ETH
1.7153496e+09,2992.1966666666676,ETH
1.715346e+09,3026.9866666666644,ETH
1.7153424e+09,3034.624999999999,ETH
1.7153388e+09,3030.4883333333332,ETH
1.7153352e+09,3032.1216666666687,ETH
1.7153316e+09,3033.240833333335,ETH
1.715328e+09,3037.8933333333334,ETH
1.7153244e+09,3047.129166666664,ETH
1.7153208e+09,3037.703333333333,ETH
1.7153172e+09,3029.784166666665,ETH
1.7153136e+09,3032.112500000003,ETH
1.71531e+09,3029.62,ETH
1.7153064e+09,3034.3566666666657,ETH
1.7153028e+09,3030.6658333333335,ETH
1.7152992e+09,3029.888333333333,ETH
1.7152956e+09,3039.3258333333342,ETH
1.715292e+09,3033.205833333333,ETH
1.7152884e+09,3023.620000000002,ETH
1.7152848e+09,3021.9850000000024,ETH
1.7152812e+09,3018.63416666667,ETH
1.7152776e+09,3011.3241666666663,ETH
1.715274e+09,3003.3799999999983,ETH
1.7152704e+09,3015.162500000001,ETH
1.7152668e+09,3001.153333333335,ETH
1.7152632e+09,2980.887499999998,ETH
1.7152596e+09,2981.259166666668,ETH
1.715256e+09,2984.1758333333346,ETH
1.7152524e+09,2971.666666666669,ETH
1.7152488e+09,2974.4191666666716,ETH
1.7152452e+09,2978.515000000001,ETH
1.7152416e+09,2985.4983333333316,ETH
1.715238e+09,2993.9433333333336,ETH
1.7152344e+09,3005.2641666666677,ETH
1.7152308e+09,3002.973333333334,ETH
1.7152272e+09,2998.612499999997,ETH
1.7152236e+09,2996.6583333333338,ETH
1.71522e+09,2997.9283333333346,ETH
1.7152164e+09,2992.875833333334,ETH
1.7152128e+09,2983.355833333332,ETH
1.7152092e+09,2972.1858333333334,ETH
1.7152056e+09,2970.145000000001,ETH
1.715202e+09,2964.875833333332,ETH
1.7151984e+09,2969.3091666666664,ETH
1.7151948e+09,3003.525000000002,ETH
1.7151912e+09,3015.859999999998,ETH
1.7151876e+09,3013.9783333333344,ETH
1.715184e+09,3007.5491666666667,ETH
1.7151804e+09,3006.2758333333354,ETH
1.7151768e+09,3022.5841666666634,ETH
1.7151732e+09,3006.1825000000026,ETH
1.7151696e+09,2997.634166666669,ETH
1.715166e+09,2995.9075,ETH
1.7151624e+09,3004.602500000001,ETH
1.7151588e+09,2993.645000000001,ETH
1.7151552e+09,3000.2758333333363,ETH
1.7151516e+09,3007.998333333334,ETH
1.715148e+09,3015.672499999999,ETH
1.7151444e+09,3020.093333333333,ETH
1.7151408e+09,3027.433333333332,ETH
1.7151372e+09,3030.3066666666664,ETH
1.7151336e+09,3031.166666666666,ETH
1.71513e+09,3024.9150000000004,ETH
1.7151264e+09,3018.020833333333,ETH
1.7151228e+09,3021.974999999998,ETH
1.7151192e+09,3047.2808333333323,ETH
1.7151156e+09,3052.4975000000004,ETH
1.715112e+09,3054.2741666666643,ETH
1.7151084e+09,3052.4608333333335,ETH
1.7151048e+09,3048.4008333333354,ETH
1.7151012e+09,3066.192499999998,ETH
1.7150976e+09,3073.085000000001,ETH
1.715094e+09,3081.7975000000006,ETH
1.7150904e+09,3064.951666666668,ETH
1.7150868e+09,3075.2725000000014,ETH
1.7150832e+09,3074.7974999999988,ETH
1.7150796e+09,3092.90416666667,ETH
1.715076e+09,3103.5791666666646,ETH
1.7150724e+09,3122.040833333333,ETH
1.7150688e+09,3102.7791666666644,ETH
1.7150652e+09,3078.6333333333328,ETH
1.7150616e+09,3069.384166666668,ETH
1.715058e+09,3069.267499999999,ETH
1.7150544e+09,3059.4366666666665,ETH
1.7150508e+09,3068.444166666666,ETH
1.7150472e+09,3092.24416666667,ETH
1.7150436e+09,3082.620000000002,ETH
1.71504e+09,3071.9158333333335,ETH
1.7150364e+09,3075.2091666666674,ETH
1.7150328e+09,3086.2333333333313,ETH
1.7150292e+09,3085.6749999999997,ETH
1.7150256e+09,3075.6,ETH
1.715022e+09,3067.5308333333355,ETH
1.7150184e+09,3076.8766666666684,ETH
1.7150148e+09,3078.6416666666646,ETH
1.7150112e+09,3087.8133333333335,ETH
1.7150076e+09,3080.0841666666674,ETH
1.715004e+09,3112.5774999999976,ETH
1.7150004e+09,3110.9749999999985,ETH
1.7149968e+09,3134.815000000002,ETH
1.7149932e+09,3154.178333333335,ETH
1.7149896e+09,3182.49416666667,ETH
1.714986e+09,3200.975000000001,ETH
1.7149824e+09,3198.7691666666665,ETH
1.7149788e+09,3177.183333333332,ETH
1.7149752e+09,3182.549166666667,ETH
1.7149716e+09,3157.5183333333325,ETH
1.714968e+09,3136.773333333332,ETH
1.7149644e+09,3137.895833333333,ETH
1.7149608e+09,3150.359166666665,ETH
1.7149572e+09,3154.1708333333318,ETH
1.7149536e+09,3148.8124999999977,ETH
1.71495e+09,3140.0933333333305,ETH
1.7149464e+09,3133.2474999999995,ETH
1.7149428e+09,3136.1824999999967,ETH
1.7149392e+09,3141.3908333333325,ETH
1.7149356e+09,3144.5324999999984,ETH
1.714932e+09,3144.1691666666634,ETH
1.7149284e+09,3154.8933333333316,ETH
1.7149248e+09,3156.8158333333354,ETH
1.7149212e+09,3156.0133333333306,ETH
1.7149176e+09,3139.6366666666654,ETH
1.714914e+09,3143.901666666669,ETH
1.7149104e+09,3137.631666666665,ETH
1.7149068e+09,3137.9375,ETH
1.7149032e+09,3142.5500000000015,ETH
1.7148996e+09,3143.933333333331,ETH
1.714896e+09,3127.8366666666666,ETH
1.7148924e+09,3104.6766666666645,ETH
1.7148888e+09,3093.035000000002,ETH
1.7148852e+09,3093.365833333335,ETH
1.7148816e+09,3092.9266666666667,ETH
1.714878e+09,3085.359166666667,ETH
1.7148744e+09,3093.718333333332,ETH
1.7148708e+09,3097.230000000001,ETH
1.7148672e+09,3115.5700000000015,ETH
1.7148636e+09,3117.0175000000004,ETH
1.71486e+09,3116.585833333334,ETH
1.7148564e+09,3126.602500000002,ETH
1.7148528e+09,3139.3899999999994,ETH
1.7148492e+09,3127.1666666666692,ETH
1.7148456e+09,3127.044166666665,ETH
1.714842e+09,3126.267499999999,ETH
1.7148384e+09,3126.009166666668,ETH
1.7148348e+09,3127.678333333333,ETH
1.7148312e+09,3131.127499999998,ETH
1.7148276e+09,3140.8408333333323,ETH
1.714824e+09,3142.574999999999,ETH
1.7148204e+09,3151.8441666666686,ETH
1.7148168e+09,3117.8849999999993,ETH
1.7148132e+09,3110.252500000002,ETH
1.7148096e+09,3106.4375,ETH
1.714806e+09,3105.944166666665,ETH
1.7148024e+09,3115.435833333334,ETH
1.7147988e+09,3116.906666666669,ETH
1.7147952e+09,3114.4841666666644,ETH
1.7147916e+09,3109.5624999999986,ETH
1.714788e+09,3103.8774999999982,ETH
1.7147844e+09,3118.946666666664,ETH
1.7147808e+09,3112.543333333334,ETH
1.7147772e+09,3111.43416666667,ETH
1.7147736e+09,3113.0466666666684,ETH
1.71477e+09,3111.0758333333306,ETH
1.7147664e+09,3099.2949999999996,ETH
1.7147628e+09,3071.4575000000013,ETH
1.7147592e+09,3078.6141666666654,ETH
1.7147556e+09,3076.461666666667,ETH
1.714752e+09,3081.9433333333313,ETH
1.7147484e+09,3065.599166666668,ETH
1.7147448e+09,3058.7783333333323,ETH
1.7147412e+09,3048.4324999999985,ETH
1.7147376e+09,2996.6591666666673,ETH
1.714734e+09,2974.5599999999977,ETH
1.7147304e+09,2979.064166666666,ETH
1.7147268e+09,2981.609166666668,ETH
1.7147232e+09,2977.5200000000013,ETH
1.7147196e+09,2984.520833333334,ETH
1.714716e+09,2992.3816666666635,ETH
1.7147124e+09,3003.6383333333333,ETH
1.7147088e+09,3011.460833333332,ETH
1.7147052e+09,3018.3191666666653,ETH
1.7147016e+09,3018.047500000003,ETH
1.714698e+09,3005.097500000003,ETH
1.7146944e+09,2988.576666666665,ETH
1.7146908e+09,2993.748333333332,ETH
1.7146872e+09,3003.655000000002,ETH
1.7146836e+09,2998.4683333333346,ETH
1.71468e+09,2994.026666666667,ETH
1.7146764e+09,2991.9008333333327,ETH
1.7146728e+09,2992.3699999999985,ETH
1.7146692e+09,2990.2416666666654,ETH
1.7146656e+09,2988.6733333333336,ETH
1.714662e+09,2996.634166666666,ETH
1.7146584e+09,2976.635,ETH
1.7146548e+09,2979.571666666668,ETH
1.7146512e+09,2996.2400000000002,ETH
1.7146476e+09,2988.4633333333322,ETH
1.714644e+09,2948.3391666666666,ETH
1.7146404e+09,2942.6800000000007,ETH
1.7146368e+09,2934.879999999999,ETH
1.7146332e+09,2926.7749999999996,ETH
1.7146296e+09,2917.6283333333345,ETH
1.714626e+09,2913.530000000001,ETH
1.7146224e+09,2932.1091666666657,ETH
1.7146188e+09,2926.9175000000005,ETH
1.7146152e+09,2913.6924999999983,ETH
1.7146116e+09,2934.9691666666663,ETH
1.714608e+09,2964.5091666666676,ETH
1.7146044e+09,2972.3649999999993,ETH
1.7146008e+09,2971.9108333333293,ETH
1.7145972e+09,2954.8708333333334,ETH
1.7145936e+09,2935.080833333332,ETH
1.71459e+09,2957.7658333333334,ETH
1.7145864e+09,2966.620000000001,ETH
1.7145828e+09,2896.017500000001,ETH
1.7145792e+09,2890.8575000000023,ETH
1.7145756e+09,2888.061666666667,ETH
1.714572e+09,2895.231666666666,ETH
1.7145684e+09,2902.1075000000014,ETH
1.7145648e+09,2917.9383333333344,ETH
1.7145612e+09,2890.135,ETH
1.7145576e+09,2879.9525000000003,ETH
1.714554e+09,2877.0199999999995,ETH
